message,label
Win a free iPhone now,spam
Limited offer claim your prize,spam
Congratulations you have won lottery,spam
Cheap loans available apply now,spam
Call now to get free reward,spam
Meeting at 10 am tomorrow,ham
Please find the attached report,ham
Let's have lunch today,ham
Project deadline is next week,ham
Can you call me in the evening,ham
Free entry in contest win cash,spam
Your account has been compromised click here,spam
Are you coming to class today,ham
Don't forget to submit assignment,ham
Special discount just for you,spam